Timestamp,Date,date,entry_word_count,formatted_date,quarter,sentiment,maxSentiment,positve-sentiment,negative-sentiment,neutral-sentiment
2021-07-17 9:13:04,2020-04-12 0:00:00,2020-04-12 0:00:00,299,2020-04-12,2020Q2,"{'neg': 0.169, 'neu': 0.729, 'pos': 0.102, 'compound': -0.9676}",negative,0.102,0.169,0.729
2021-07-17 9:13:04,2020-02-15 0:00:00,2020-02-15 0:00:00,348,2020-02-15,2020Q1,"{'neg': 0.08, 'neu': 0.831, 'pos': 0.089, 'compound': 0.5881}",positive,0.089,0.08,0.831
2021-07-17 9:13:04,2020-02-11 0:00:00,2020-02-11 0:00:00,32,2020-02-11,2020Q1,"{'neg': 0.33, 'neu': 0.638, 'pos': 0.032, 'compound': -0.9036}",negative,0.032,0.33,0.638
2021-07-17 9:13:04,2020-01-26 0:00:00,2020-01-26 0:00:00,572,2020-01-26,2020Q1,"{'neg': 0.03, 'neu': 0.69, 'pos': 0.281, 'compound': 0.9996}",positive,0.281,0.03,0.69
2021-07-17 9:13:04,2020-01-25 0:00:00,2020-01-25 0:00:00,412,2020-01-25,2020Q1,"{'neg': 0.095, 'neu': 0.701, 'pos': 0.204, 'compound': 0.9929}",positive,0.204,0.095,0.701
2021-07-17 9:13:04,2019-12-28 0:00:00,2019-12-28 0:00:00,413,2019-12-28,2019Q4,"{'neg': 0.076, 'neu': 0.83, 'pos': 0.094, 'compound': 0.9161}",positive,0.094,0.076,0.83
2021-07-17 9:13:04,2019-12-19 0:00:00,2019-12-19 0:00:00,161,2019-12-19,2019Q4,"{'neg': 0.009, 'neu': 0.803, 'pos': 0.188, 'compound': 0.9825}",positive,0.188,0.009,0.803
2021-07-17 9:13:04,2019-10-19 0:00:00,2019-10-19 0:00:00,122,2019-10-19,2019Q4,"{'neg': 0.093, 'neu': 0.826, 'pos': 0.081, 'compound': -0.358}",negative,0.081,0.093,0.826
2021-07-17 9:13:04,2019-09-13 0:00:00,2019-09-13 0:00:00,34,2019-09-13,2019Q3,"{'neg': 0.058, 'neu': 0.674, 'pos': 0.269, 'compound': 0.8777}",positive,0.269,0.058,0.674
2021-07-17 9:13:04,2019-08-26 0:00:00,2019-08-26 0:00:00,106,2019-08-26,2019Q3,"{'neg': 0.043, 'neu': 0.797, 'pos': 0.159, 'compound': 0.8694}",positive,0.159,0.043,0.797
2021-07-17 9:13:04,2019-08-24 0:00:00,2019-08-24 0:00:00,59,2019-08-24,2019Q3,"{'neg': 0.163, 'neu': 0.767, 'pos': 0.07, 'compound': -0.742}",negative,0.07,0.163,0.767
2021-07-17 9:13:04,2019-08-04 0:00:00,2019-08-04 0:00:00,131,2019-08-04,2019Q3,"{'neg': 0.075, 'neu': 0.758, 'pos': 0.167, 'compound': 0.8896}",positive,0.167,0.075,0.758
2021-07-17 9:13:04,2019-07-23 0:00:00,2019-07-23 0:00:00,29,2019-07-23,2019Q3,"{'neg': 0.066, 'neu': 0.934, 'pos': 0.0, 'compound': -0.2263}",negative,0.0,0.066,0.934
2021-07-17 9:13:04,2019-07-14 0:00:00,2019-07-14 0:00:00,152,2019-07-14,2019Q3,"{'neg': 0.128, 'neu': 0.777, 'pos': 0.094, 'compound': -0.892}",negative,0.094,0.128,0.777
2021-07-17 9:13:04,2019-07-05 0:00:00,2019-07-05 0:00:00,260,2019-07-05,2019Q3,"{'neg': 0.093, 'neu': 0.733, 'pos': 0.174, 'compound': 0.9796}",positive,0.174,0.093,0.733
2021-07-17 9:13:04,2019-06-23 0:00:00,2019-06-23 0:00:00,96,2019-06-23,2019Q2,"{'neg': 0.028, 'neu': 0.951, 'pos': 0.022, 'compound': -0.1447}",negative,0.022,0.028,0.951
2021-07-17 9:13:04,2019-06-18 0:00:00,2019-06-18 0:00:00,285,2019-06-18,2019Q2,"{'neg': 0.091, 'neu': 0.711, 'pos': 0.198, 'compound': 0.9918}",positive,0.198,0.091,0.711
2021-07-17 9:13:04,2019-06-17 0:00:00,2019-06-17 0:00:00,47,2019-06-17,2019Q2,"{'neg': 0.173, 'neu': 0.752, 'pos': 0.075, 'compound': -0.7243}",negative,0.075,0.173,0.752
2021-07-17 9:13:04,2019-06-15 0:00:00,2019-06-15 0:00:00,144,2019-06-15,2019Q2,"{'neg': 0.121, 'neu': 0.712, 'pos': 0.167, 'compound': 0.7572}",positive,0.167,0.121,0.712
2021-07-17 9:13:04,2019-05-18 0:00:00,2019-05-18 0:00:00,178,2019-05-18,2019Q2,"{'neg': 0.155, 'neu': 0.637, 'pos': 0.208, 'compound': 0.9194}",positive,0.208,0.155,0.637
2021-07-17 9:13:04,2019-05-04 0:00:00,2019-05-04 0:00:00,104,2019-05-04,2019Q2,"{'neg': 0.024, 'neu': 0.881, 'pos': 0.095, 'compound': 0.7137}",positive,0.095,0.024,0.881
2021-07-17 9:13:04,2019-04-28 0:00:00,2019-04-28 0:00:00,785,2019-04-28,2019Q2,"{'neg': 0.048, 'neu': 0.806, 'pos': 0.146, 'compound': 0.9976}",positive,0.146,0.048,0.806
2021-07-17 9:13:04,2019-03-31 0:00:00,2019-03-31 0:00:00,208,2019-03-31,2019Q1,"{'neg': 0.168, 'neu': 0.783, 'pos': 0.049, 'compound': -0.9791}",negative,0.049,0.168,0.783
2021-07-17 9:13:04,2019-03-10 0:00:00,2019-03-10 0:00:00,126,2019-03-10,2019Q1,"{'neg': 0.096, 'neu': 0.616, 'pos': 0.287, 'compound': 0.9857}",positive,0.287,0.096,0.616
2021-07-17 9:13:04,2019-02-03 0:00:00,2019-02-03 0:00:00,101,2019-02-03,2019Q1,"{'neg': 0.076, 'neu': 0.79, 'pos': 0.134, 'compound': 0.8309}",positive,0.134,0.076,0.79
2021-07-17 9:13:04,2019-01-20 0:00:00,2019-01-20 0:00:00,327,2019-01-20,2019Q1,"{'neg': 0.038, 'neu': 0.828, 'pos': 0.134, 'compound': 0.9878}",positive,0.134,0.038,0.828
2021-07-17 9:13:04,2018-11-25 0:00:00,2018-11-25 0:00:00,412,2018-11-25,2018Q4,"{'neg': 0.171, 'neu': 0.72, 'pos': 0.108, 'compound': -0.9898}",negative,0.108,0.171,0.72
2021-07-17 9:13:04,2018-11-18 0:00:00,2018-11-18 0:00:00,249,2018-11-18,2018Q4,"{'neg': 0.136, 'neu': 0.754, 'pos': 0.11, 'compound': -0.5384}",negative,0.11,0.136,0.754
2021-07-17 9:13:04,2018-11-09 0:00:00,2018-11-09 0:00:00,137,2018-11-09,2018Q4,"{'neg': 0.124, 'neu': 0.653, 'pos': 0.223, 'compound': 0.9509}",positive,0.223,0.124,0.653
2021-07-17 9:13:04,2018-10-28 0:00:00,2018-10-28 0:00:00,181,2018-10-28,2018Q4,"{'neg': 0.022, 'neu': 0.856, 'pos': 0.122, 'compound': 0.9332}",positive,0.122,0.022,0.856
2021-07-17 9:13:04,2018-10-16 0:00:00,2018-10-16 0:00:00,14,2018-10-16,2018Q4,"{'neg': 0.148, 'neu': 0.852, 'pos': 0.0, 'compound': -0.4168}",negative,0.0,0.148,0.852
